Sheet,Period,w,y
6-periods (1),1,185.0,0.09073075036782736
6-periods (1),2,1312.0,0.6434526728788622
6-periods (1),3,0.0,0.0
6-periods (1),4,0.0,0.0
6-periods (1),5,0.0,0.0
6-periods (1),6,542.0,0.26581657675331044
6-periods (2),1,573.0,0.13079205660808035
6-periods (2),2,3808.0,0.8692079433919196
6-periods (2),3,0.0,0.0
6-periods (2),4,0.0,0.0
6-periods (2),5,0.0,0.0
6-periods (2),6,0.0,0.0
12-periods (1),1,875.0,0.17521025230276333
12-periods (1),2,17.0,0.003404084901882259
12-periods (1),3,325.0,0.06507809371245495
12-periods (1),4,0.0,0.0
12-periods (1),5,477.0,0.09551461754104926
12-periods (1),6,817.0,0.16359631557869445
12-periods (1),7,182.0,0.03644373247897477
12-periods (1),8,445.0,0.08910692831397678
12-periods (1),9,487.0,0.09751702042450941
12-periods (1),10,0.0,0.0
12-periods (1),11,506.0,0.1013215859030837
12-periods (1),12,863.0,0.17280736884261114
