Sheet,Objective (Integer),Objective (Relaxed),Time (Integer) [s],Time (Relaxed) [s]
6-periods (1),29911.0,29911.0,0.032914161682128906,0.032912492752075195
6-periods (2),101686.0,101686.0,0.034909963607788086,0.05285954475402832
12-periods (1),53662.0,53662.0,0.04787278175354004,0.03191733360290527
12-periods (2),44598.0,44598.0,0.03092169761657715,0.04188895225524902
24-periods (1),78316.0,78316.0,0.04188966751098633,0.023916006088256836
24-periods (2),119187.0,119187.0,0.04488062858581543,0.02290058135986328
52-periods (1),203337.0,203337.0,0.14461445808410645,0.03590679168701172
52-periods (2),201802.0,201802.0,0.17453336715698242,0.03088068962097168
104-periods (1),331305.0,331305.0,0.23134350776672363,0.06977176666259766
104-periods (2),664029.0,664029.0,0.2902028560638428,0.16352415084838867
