Sheet,Period,y,x,S
6-periods (1),1,1.0,185.0,0.0
6-periods (1),2,1.0,1312.0,739.0
6-periods (1),3,-0.0,0.0,456.0
6-periods (1),4,0.0,0.0,456.0
6-periods (1),5,-0.0,0.0,0.0
6-periods (1),6,1.0,542.0,0.0
6-periods (2),1,1.0,573.0,0.0
6-periods (2),2,1.0,3808.0,3275.0
6-periods (2),3,0.0,0.0,2379.0
6-periods (2),4,0.0,0.0,1509.0
6-periods (2),5,0.0,0.0,691.0
6-periods (2),6,0.0,0.0,0.0
12-periods (1),1,1.0,892.0,17.0
12-periods (1),2,0.0,0.0,0.0
12-periods (1),3,1.0,325.0,0.0
12-periods (1),4,-0.0,0.0,0.0
12-periods (1),5,1.0,477.0,0.0
12-periods (1),6,1.0,817.0,0.0
12-periods (1),7,1.0,627.0,445.0
12-periods (1),8,0.0,0.0,0.0
12-periods (1),9,1.0,487.0,0.0
12-periods (1),10,0.0,0.0,0.0
12-periods (1),11,1.0,506.0,0.0
12-periods (1),12,1.0,863.0,0.0
12-periods (2),1,1.0,623.0,0.0
12-periods (2),2,1.0,906.0,71.0
12-periods (2),3,0.0,0.0,0.0
12-periods (2),4,1.0,958.0,0.0
12-periods (2),5,1.0,319.0,0.0
12-periods (2),6,-0.0,0.0,0.0
12-periods (2),7,1.0,689.0,0.0
12-periods (2),8,1.0,414.0,0.0
12-periods (2),9,1.0,372.0,0.0
12-periods (2),10,1.0,346.0,0.0
12-periods (2),11,-0.0,0.0,0.0
12-periods (2),12,1.0,938.0,0.0
24-periods (1),1,1.0,660.0,0.0
24-periods (1),2,1.0,837.0,0.0
24-periods (1),3,1.0,164.0,0.0
24-periods (1),4,0.0,0.0,0.0
24-periods (1),5,1.0,857.0,0.0
24-periods (1),6,1.0,190.0,73.0
24-periods (1),7,0.0,0.0,0.0
24-periods (1),8,0.0,0.0,0.0
24-periods (1),9,1.0,100.0,0.0
24-periods (1),10,1.0,454.0,0.0
24-periods (1),11,1.0,924.0,0.0
24-periods (1),12,1.0,496.0,0.0
24-periods (1),13,1.0,703.0,0.0
24-periods (1),14,1.0,469.0,0.0
24-periods (1),15,1.0,706.0,0.0
24-periods (1),16,1.0,907.0,0.0
24-periods (1),17,1.0,321.0,0.0
24-periods (1),18,0.0,0.0,0.0
24-periods (1),19,1.0,192.0,0.0
24-periods (1),20,0.0,0.0,0.0
24-periods (1),21,0.0,0.0,0.0
24-periods (1),22,1.0,883.0,0.0
24-periods (1),23,1.0,783.0,0.0
24-periods (1),24,1.0,727.0,0.0
24-periods (2),1,1.0,1067.0,718.0
24-periods (2),2,0.0,0.0,0.0
24-periods (2),3,1.0,1366.0,436.0
24-periods (2),4,-0.0,0.0,0.0
24-periods (2),5,1.0,853.0,0.0
24-periods (2),6,-0.0,0.0,0.0
24-periods (2),7,1.0,695.0,363.0
24-periods (2),8,-0.0,0.0,363.0
24-periods (2),9,0.0,0.0,0.0
24-periods (2),10,-0.0,0.0,0.0
24-periods (2),11,1.0,842.0,414.0
24-periods (2),12,0.0,0.0,0.0
24-periods (2),13,1.0,1245.0,842.0
24-periods (2),14,0.0,0.0,199.0
24-periods (2),15,-0.0,0.0,0.0
24-periods (2),16,1.0,958.0,628.0
24-periods (2),17,0.0,0.0,0.0
24-periods (2),18,1.0,585.0,0.0
24-periods (2),19,1.0,1876.0,1036.0
24-periods (2),20,0.0,0.0,785.0
24-periods (2),21,-0.0,0.0,371.0
24-periods (2),22,0.0,0.0,0.0
24-periods (2),23,1.0,1157.0,512.0
24-periods (2),24,0.0,0.0,0.0
52-periods (1),1,1.0,614.0,0.0
52-periods (1),2,0.0,0.0,0.0
52-periods (1),3,1.0,612.0,0.0
52-periods (1),4,1.0,271.0,0.0
52-periods (1),5,1.0,622.0,246.0
52-periods (1),6,0.0,0.0,185.0
52-periods (1),7,0.0,0.0,0.0
52-periods (1),8,1.0,615.0,615.0
52-periods (1),9,0.0,0.0,136.0
52-periods (1),10,-0.0,0.0,136.0
52-periods (1),11,0.0,0.0,0.0
52-periods (1),12,1.0,769.0,410.0
52-periods (1),13,-0.0,0.0,0.0
52-periods (1),14,1.0,364.0,364.0
52-periods (1),15,0.0,0.0,0.0
52-periods (1),16,1.0,1885.0,1067.0
52-periods (1),17,0.0,0.0,965.0
52-periods (1),18,0.0,0.0,805.0
52-periods (1),19,0.0,0.0,397.0
52-periods (1),20,0.0,0.0,0.0
52-periods (1),21,1.0,597.0,0.0
52-periods (1),22,1.0,675.0,80.0
52-periods (1),23,0.0,0.0,0.0
52-periods (1),24,1.0,828.0,586.0
52-periods (1),25,0.0,0.0,114.0
52-periods (1),26,0.0,0.0,0.0
52-periods (1),27,1.0,993.0,0.0
52-periods (1),28,1.0,1227.0,1048.0
52-periods (1),29,0.0,0.0,370.0
52-periods (1),30,0.0,0.0,305.0
52-periods (1),31,0.0,0.0,112.0
52-periods (1),32,0.0,0.0,0.0
52-periods (1),33,1.0,697.0,0.0
52-periods (1),34,1.0,238.0,0.0
52-periods (1),35,1.0,992.0,0.0
52-periods (1),36,1.0,1678.0,1501.0
52-periods (1),37,-0.0,0.0,1398.0
52-periods (1),38,0.0,0.0,871.0
52-periods (1),39,0.0,0.0,105.0
52-periods (1),40,0.0,0.0,0.0
52-periods (1),41,1.0,283.0,0.0
52-periods (1),42,-0.0,0.0,0.0
52-periods (1),43,1.0,1019.0,877.0
52-periods (1),44,-0.0,0.0,39.0
52-periods (1),45,0.0,0.0,0.0
52-periods (1),46,1.0,1472.0,642.0
52-periods (1),47,-0.0,0.0,642.0
52-periods (1),48,-0.0,0.0,642.0
52-periods (1),49,0.0,0.0,160.0
52-periods (1),50,0.0,0.0,157.0
52-periods (1),51,-0.0,0.0,0.0
52-periods (1),52,1.0,509.0,0.0
52-periods (2),1,1.0,614.0,0.0
52-periods (2),2,-0.0,0.0,0.0
52-periods (2),3,1.0,883.0,271.0
52-periods (2),4,-0.0,0.0,0.0
52-periods (2),5,1.0,622.0,246.0
52-periods (2),6,-0.0,0.0,185.0
52-periods (2),7,0.0,0.0,0.0
52-periods (2),8,-0.0,0.0,0.0
52-periods (2),9,1.0,615.0,136.0
52-periods (2),10,0.0,0.0,136.0
52-periods (2),11,-0.0,0.0,0.0
52-periods (2),12,1.0,769.0,410.0
52-periods (2),13,0.0,0.0,0.0
52-periods (2),14,1.0,364.0,364.0
52-periods (2),15,-0.0,0.0,0.0
52-periods (2),16,1.0,1080.0,262.0
52-periods (2),17,0.0,0.0,160.0
52-periods (2),18,0.0,0.0,0.0
52-periods (2),19,1.0,805.0,397.0
52-periods (2),20,0.0,0.0,0.0
52-periods (2),21,1.0,597.0,0.0
52-periods (2),22,1.0,675.0,80.0
52-periods (2),23,0.0,0.0,0.0
52-periods (2),24,1.0,828.0,586.0
52-periods (2),25,0.0,0.0,114.0
52-periods (2),26,0.0,0.0,0.0
52-periods (2),27,1.0,1172.0,179.0
52-periods (2),28,0.0,0.0,0.0
52-periods (2),29,1.0,1048.0,370.0
52-periods (2),30,-0.0,0.0,305.0
52-periods (2),31,0.0,0.0,112.0
52-periods (2),32,0.0,0.0,0.0
52-periods (2),33,1.0,697.0,0.0
52-periods (2),34,1.0,238.0,0.0
52-periods (2),35,1.0,992.0,0.0
52-periods (2),36,1.0,280.0,103.0
52-periods (2),37,0.0,0.0,0.0
52-periods (2),38,1.0,1398.0,871.0
52-periods (2),39,0.0,0.0,105.0
52-periods (2),40,-0.0,0.0,0.0
52-periods (2),41,1.0,283.0,0.0
52-periods (2),42,-0.0,0.0,0.0
52-periods (2),43,1.0,1019.0,877.0
52-periods (2),44,-0.0,0.0,39.0
52-periods (2),45,0.0,0.0,0.0
52-periods (2),46,1.0,830.0,0.0
52-periods (2),47,-0.0,0.0,0.0
52-periods (2),48,-0.0,0.0,0.0
52-periods (2),49,1.0,642.0,160.0
52-periods (2),50,-0.0,0.0,157.0
52-periods (2),51,-0.0,0.0,0.0
52-periods (2),52,1.0,509.0,0.0
104-periods (1),1,1.0,917.0,0.0
104-periods (1),2,1.0,1866.0,928.0
104-periods (1),3,0.0,0.0,0.0
104-periods (1),4,1.0,2123.0,1535.0
104-periods (1),5,-0.0,0.0,1317.0
104-periods (1),6,0.0,0.0,462.0
104-periods (1),7,0.0,0.0,0.0
104-periods (1),8,0.0,0.0,0.0
104-periods (1),9,1.0,295.0,184.0
104-periods (1),10,0.0,0.0,0.0
104-periods (1),11,1.0,1482.0,686.0
104-periods (1),12,0.0,0.0,0.0
104-periods (1),13,1.0,948.0,209.0
104-periods (1),14,0.0,0.0,0.0
104-periods (1),15,1.0,840.0,0.0
104-periods (1),16,1.0,577.0,487.0
104-periods (1),17,0.0,0.0,0.0
104-periods (1),18,1.0,1050.0,188.0
104-periods (1),19,0.0,0.0,0.0
104-periods (1),20,1.0,606.0,0.0
104-periods (1),21,1.0,1230.0,248.0
104-periods (1),22,0.0,0.0,0.0
104-periods (1),23,-0.0,0.0,0.0
104-periods (1),24,1.0,1103.0,874.0
104-periods (1),25,-0.0,0.0,20.0
104-periods (1),26,0.0,0.0,0.0
104-periods (1),27,-0.0,0.0,0.0
104-periods (1),28,1.0,1571.0,992.0
104-periods (1),29,-0.0,0.0,0.0
104-periods (1),30,1.0,880.0,563.0
104-periods (1),31,0.0,0.0,0.0
104-periods (1),32,1.0,1928.0,1176.0
104-periods (1),33,0.0,0.0,432.0
104-periods (1),34,0.0,0.0,0.0
104-periods (1),35,1.0,967.0,0.0
104-periods (1),36,0.0,0.0,0.0
104-periods (1),37,1.0,514.0,514.0
104-periods (1),38,0.0,0.0,0.0
104-periods (1),39,1.0,1077.0,959.0
104-periods (1),40,0.0,0.0,43.0
104-periods (1),41,0.0,0.0,0.0
104-periods (1),42,1.0,369.0,0.0
104-periods (1),43,1.0,1072.0,262.0
104-periods (1),44,0.0,0.0,0.0
104-periods (1),45,1.0,358.0,0.0
104-periods (1),46,1.0,1456.0,1385.0
104-periods (1),47,0.0,0.0,686.0
104-periods (1),48,0.0,0.0,218.0
104-periods (1),49,0.0,0.0,218.0
104-periods (1),50,-0.0,0.0,0.0
104-periods (1),51,1.0,651.0,232.0
104-periods (1),52,0.0,0.0,0.0
104-periods (1),53,-0.0,0.0,0.0
104-periods (1),54,1.0,735.0,488.0
104-periods (1),55,0.0,0.0,0.0
104-periods (1),56,1.0,415.0,0.0
104-periods (1),57,1.0,425.0,0.0
104-periods (1),58,0.0,0.0,0.0
104-periods (1),59,1.0,206.0,170.0
104-periods (1),60,0.0,0.0,0.0
104-periods (1),61,1.0,879.0,0.0
104-periods (1),62,-0.0,0.0,0.0
104-periods (1),63,1.0,1872.0,945.0
104-periods (1),64,-0.0,0.0,0.0
104-periods (1),65,-0.0,0.0,0.0
104-periods (1),66,1.0,1294.0,439.0
104-periods (1),67,0.0,0.0,189.0
104-periods (1),68,0.0,0.0,20.0
104-periods (1),69,0.0,0.0,0.0
104-periods (1),70,1.0,163.0,163.0
104-periods (1),71,0.0,0.0,0.0
104-periods (1),72,1.0,1694.0,920.0
104-periods (1),73,0.0,0.0,0.0
104-periods (1),74,1.0,1070.0,790.0
104-periods (1),75,0.0,0.0,466.0
104-periods (1),76,-0.0,0.0,0.0
104-periods (1),77,1.0,384.0,0.0
104-periods (1),78,1.0,1332.0,1088.0
104-periods (1),79,0.0,0.0,150.0
104-periods (1),80,0.0,0.0,0.0
104-periods (1),81,1.0,1127.0,1084.0
104-periods (1),82,0.0,0.0,481.0
104-periods (1),83,0.0,0.0,0.0
104-periods (1),84,1.0,1060.0,409.0
104-periods (1),85,0.0,0.0,0.0
104-periods (1),86,1.0,872.0,529.0
104-periods (1),87,0.0,0.0,0.0
104-periods (1),88,1.0,691.0,0.0
104-periods (1),89,1.0,2359.0,1407.0
104-periods (1),90,-0.0,0.0,679.0
104-periods (1),91,0.0,0.0,0.0
104-periods (1),92,1.0,1489.0,584.0
104-periods (1),93,0.0,0.0,0.0
104-periods (1),94,1.0,1204.0,297.0
104-periods (1),95,-0.0,0.0,0.0
104-periods (1),96,1.0,1116.0,263.0
104-periods (1),97,0.0,0.0,0.0
104-periods (1),98,1.0,1094.0,133.0
104-periods (1),99,0.0,0.0,0.0
104-periods (1),100,1.0,503.0,0.0
104-periods (1),101,1.0,1061.0,410.0
104-periods (1),102,-0.0,0.0,63.0
104-periods (1),103,-0.0,0.0,0.0
104-periods (1),104,0.0,0.0,0.0
104-periods (2),1,1.0,1918.0,1098.0
104-periods (2),2,0.0,0.0,676.0
104-periods (2),3,0.0,0.0,132.0
104-periods (2),4,0.0,0.0,0.0
104-periods (2),5,0.0,0.0,0.0
104-periods (2),6,1.0,2255.0,1660.0
104-periods (2),7,0.0,0.0,795.0
104-periods (2),8,0.0,0.0,522.0
104-periods (2),9,0.0,0.0,356.0
104-periods (2),10,0.0,0.0,0.0
104-periods (2),11,1.0,1728.0000538220256,773.0000538220255
104-periods (2),12,0.0,0.0,773.0000538220255
104-periods (2),13,0.0,0.0,5.382202550663351e-05
104-periods (2),14,0.9999999755222535,3069.9999215787298,2702.9999754007554
104-periods (2),15,0.0,0.0,1953.9999754007554
104-periods (2),16,-0.0,0.0,962.9999754007553
104-periods (2),17,0.0,0.0,877.9999754007554
104-periods (2),18,0.0,0.0,710.9999754007554
104-periods (2),19,2.0289505411503134e-09,8.31392194730927e-05,711.0000585399748
104-periods (2),20,0.0,0.0,5.8539974847814183e-05
104-periods (2),21,0.9999999673547131,1691.9999414599815,939.0
104-periods (2),22,0.0,0.0,0.0
104-periods (2),23,1.0,823.0,158.0
104-periods (2),24,0.0,0.0,0.0
104-periods (2),25,1.0,2078.0,2078.0
104-periods (2),26,0.0,0.0,1670.0
104-periods (2),27,0.0,0.0,1070.0
104-periods (2),28,0.0,0.0,172.0
104-periods (2),29,0.0,0.0,0.0
104-periods (2),30,1.0,2207.0,1352.0
104-periods (2),31,0.0,0.0,421.0
104-periods (2),32,0.0,0.0,0.0
104-periods (2),33,1.0,1350.0,902.0
104-periods (2),34,0.0,0.0,342.0
104-periods (2),35,0.0,0.0,0.0
104-periods (2),36,1.0,2705.0,1946.0
104-periods (2),37,0.0,0.0,1103.0
104-periods (2),38,0.0,0.0,968.0
104-periods (2),39,0.0,0.0,968.0
104-periods (2),40,-0.0,0.0,316.0
104-periods (2),41,0.0,0.0,0.0
104-periods (2),42,1.0,3560.0,2818.0
104-periods (2),43,0.0,0.0,2578.0
104-periods (2),44,-0.0,0.0,1837.0
104-periods (2),45,-0.0,0.0,1252.0
104-periods (2),46,0.0,0.0,588.0
104-periods (2),47,-0.0,0.0,0.0
104-periods (2),48,1.0,2070.0,1569.0
104-periods (2),49,0.0,0.0,1563.0
104-periods (2),50,-0.0,0.0,1253.0
104-periods (2),51,0.0,0.0,1055.0
104-periods (2),52,0.0,0.0,341.0
104-periods (2),53,0.0,0.0,0.0
104-periods (2),54,1.0,2607.0,1852.0
104-periods (2),55,0.0,0.0,1322.0
104-periods (2),56,0.0,0.0,904.0
104-periods (2),57,-0.0,0.0,904.0
104-periods (2),58,0.0,0.0,817.0
104-periods (2),59,0.0,0.0,287.0
104-periods (2),60,0.0,0.0,0.0
104-periods (2),61,0.0,0.0,0.0
104-periods (2),62,1.0,2396.0,1491.0
104-periods (2),63,0.0,0.0,1422.0
