Sheet,Period,y,x,S
104-periods (1),1,1.0,917.0,0.0
104-periods (1),2,1.0,1866.0,928.0
104-periods (1),3,0.0,0.0,0.0
104-periods (1),4,1.0,2123.0,1535.0
104-periods (1),5,0.0,0.0,1317.0
104-periods (1),6,0.0,0.0,462.0
104-periods (1),7,0.0,0.0,0.0
104-periods (1),8,0.0,0.0,0.0
104-periods (1),9,1.0,295.0,184.0
104-periods (1),10,0.0,0.0,0.0
104-periods (1),11,1.0,1482.0,686.0
104-periods (1),12,0.0,0.0,0.0
104-periods (1),13,1.0,948.0,209.0
104-periods (1),14,0.0,0.0,0.0
104-periods (1),15,1.0,840.0,0.0
104-periods (1),16,1.0,577.0,487.0
104-periods (1),17,0.0,0.0,0.0
104-periods (1),18,1.0,1050.0,188.0
104-periods (1),19,0.0,0.0,0.0
104-periods (1),20,1.0,606.0,0.0
104-periods (1),21,1.0,1230.0,248.0
104-periods (1),22,0.0,0.0,0.0
104-periods (1),23,0.0,0.0,0.0
104-periods (1),24,1.0,1103.0,874.0
104-periods (1),25,0.0,0.0,20.0
104-periods (1),26,0.0,0.0,0.0
104-periods (1),27,0.0,0.0,0.0
104-periods (1),28,1.0,1571.0,992.0
104-periods (1),29,0.0,0.0,0.0
104-periods (1),30,1.0,880.0,563.0
104-periods (1),31,0.0,0.0,0.0
104-periods (1),32,1.0,1928.0,1176.0
104-periods (1),33,0.0,0.0,432.0
104-periods (1),34,0.0,0.0,0.0
104-periods (1),35,1.0,967.0,0.0
104-periods (1),36,0.0,0.0,0.0
104-periods (1),37,1.0,514.0,514.0
104-periods (1),38,0.0,0.0,0.0
104-periods (1),39,1.0,1077.0,959.0
104-periods (1),40,0.0,0.0,43.0
104-periods (1),41,0.0,0.0,0.0
104-periods (1),42,1.0,369.0,0.0
104-periods (1),43,1.0,1072.0,262.0
104-periods (1),44,0.0,0.0,0.0
104-periods (1),45,1.0,358.0,0.0
104-periods (1),46,1.0,1456.0,1385.0
104-periods (1),47,0.0,0.0,686.0
104-periods (1),48,0.0,0.0,218.0
104-periods (1),49,0.0,0.0,218.0
104-periods (1),50,0.0,0.0,0.0
104-periods (1),51,1.0,651.0,232.0
104-periods (1),52,0.0,0.0,0.0
104-periods (1),53,0.0,0.0,0.0
104-periods (1),54,1.0,735.0,488.0
104-periods (1),55,0.0,0.0,0.0
104-periods (1),56,1.0,415.0,0.0
104-periods (1),57,1.0,425.0,0.0
104-periods (1),58,0.0,0.0,0.0
104-periods (1),59,1.0,206.0,170.0
104-periods (1),60,0.0,0.0,0.0
104-periods (1),61,1.0,879.0,0.0
104-periods (1),62,0.0,0.0,0.0
104-periods (1),63,1.0,1872.0,945.0
104-periods (1),64,0.0,0.0,0.0
104-periods (1),65,0.0,0.0,0.0
104-periods (1),66,1.0,1294.0,439.0
104-periods (1),67,0.0,0.0,189.0
104-periods (1),68,0.0,0.0,20.0
104-periods (1),69,0.0,0.0,0.0
104-periods (1),70,1.0,163.0,163.0
104-periods (1),71,0.0,0.0,0.0
104-periods (1),72,1.0,1694.0,920.0
104-periods (1),73,0.0,0.0,0.0
104-periods (1),74,1.0,1070.0,790.0
104-periods (1),75,0.0,0.0,466.0
104-periods (1),76,0.0,0.0,0.0
104-periods (1),77,1.0,384.0,0.0
104-periods (1),78,1.0,1332.0,1088.0
104-periods (1),79,0.0,0.0,150.0
104-periods (1),80,0.0,0.0,0.0
104-periods (1),81,1.0,1127.0,1084.0
104-periods (1),82,0.0,0.0,481.0
104-periods (1),83,0.0,0.0,0.0
104-periods (1),84,1.0,1060.0,409.0
104-periods (1),85,0.0,0.0,0.0
104-periods (1),86,1.0,872.0,529.0
104-periods (1),87,0.0,0.0,0.0
104-periods (1),88,1.0,691.0,0.0
104-periods (1),89,1.0,2359.0,1407.0
104-periods (1),90,0.0,0.0,679.0
104-periods (1),91,0.0,0.0,0.0
104-periods (1),92,1.0,1489.0,584.0
104-periods (1),93,0.0,0.0,0.0
104-periods (1),94,1.0,1204.0,297.0
104-periods (1),95,0.0,0.0,0.0
104-periods (1),96,1.0,1116.0,263.0
104-periods (1),97,0.0,0.0,0.0
104-periods (1),98,1.0,1094.0,133.0
104-periods (1),99,0.0,0.0,0.0
104-periods (1),100,1.0,503.0,0.0
104-periods (1),101,1.0,1061.0,410.0
104-periods (1),102,0.0,0.0,63.0
104-periods (1),103,0.0,0.0,0.0
104-periods (1),104,0.0,0.0,0.0
