Sheet,Period,Inventory of item 1,Produced for item 1
Data-20-12 (1),1,500.0,660.0
Data-20-12 (1),2,342.0,0.0
Data-20-12 (1),3,175.0,0.0
Data-20-12 (1),4,22.0,0.0
Data-20-12 (1),5,1161.0,1292.0
Data-20-12 (1),6,986.0,0.0
Data-20-12 (1),7,810.0,0.0
Data-20-12 (1),8,659.0,0.0
Data-20-12 (1),9,503.0,0.0
Data-20-12 (1),10,334.0,0.0
Data-20-12 (1),11,175.0,0.0
Data-20-12 (1),12,0.0,0.0
Data-20-12 (2),1,0.0,3677.0
Data-20-12 (2),2,0.0,226.0
Data-20-12 (2),3,0.0,73.0
Data-20-12 (2),4,15.0,3911.0
Data-20-12 (2),5,0.0,0.0
Data-20-12 (2),6,0.0,4425.0
Data-20-12 (2),7,0.0,2578.0
Data-20-12 (2),8,2197.6923076923067,3125.6923076923067
Data-20-12 (2),9,0.0,608.3076923076933
Data-20-12 (2),10,0.0,2775.0
Data-20-12 (2),11,0.0,3099.0
Data-20-12 (2),12,0.0,1835.0
Data-20-24 (1),1,0.0,0.0
Data-20-24 (1),2,0.0,698.0
Data-20-24 (1),3,241.5,371.5
Data-20-24 (1),4,773.0,1150.5
Data-20-24 (1),5,720.0,0.0
Data-20-24 (1),6,720.0,0.0
Data-20-24 (1),7,720.0,0.0
Data-20-24 (1),8,0.0,0.0
Data-20-24 (1),9,823.0,823.0
Data-20-24 (1),10,165.0,0.0
Data-20-24 (1),11,0.0,0.0
Data-20-24 (1),12,549.0,549.0
Data-20-24 (1),13,0.0,0.0
Data-20-24 (1),14,645.0,645.0
Data-20-24 (1),15,457.0,0.0
Data-20-24 (1),16,0.0,0.0
Data-20-24 (1),17,1224.0,1224.0
Data-20-24 (1),18,1224.0,0.0
Data-20-24 (1),19,740.0,0.0
Data-20-24 (1),20,740.0,0.0
Data-20-24 (1),21,431.0,0.0
Data-20-24 (1),22,0.0,0.0
Data-20-24 (1),23,0.0,0.0
Data-20-24 (1),24,0.0,0.0
Data-20-24 (2),1,0.0,306.0
Data-20-24 (2),2,0.0,0.0
Data-20-24 (2),3,0.0,542.0
Data-20-24 (2),4,997.0,1481.0
Data-20-24 (2),5,0.0,0.0
Data-20-24 (2),6,0.0,240.0
Data-20-24 (2),7,0.0,0.0
Data-20-24 (2),8,0.0,645.0
Data-20-24 (2),9,0.0,0.0
Data-20-24 (2),10,819.0,891.0
Data-20-24 (2),11,302.0,0.0
Data-20-24 (2),12,0.0,0.0
Data-20-24 (2),13,0.0,0.0
Data-20-24 (2),14,0.0,0.0
Data-20-24 (2),15,794.0,1244.0
Data-20-24 (2),16,423.0,0.0
Data-20-24 (2),17,0.0,0.0
Data-20-24 (2),18,553.0,904.0
Data-20-24 (2),19,553.0,0.0
Data-20-24 (2),20,330.0,0.0
Data-20-24 (2),21,0.0,0.0
Data-20-24 (2),22,1107.0,1107.0
Data-20-24 (2),23,426.0,0.0
Data-20-24 (2),24,0.0,0.0
